Stocks,,,,
DNA #,Name,[Stock] (ng/uL),Length (bp) (0 for non-DNA),[Stock] (nM)
1,Positive Control,19,3202,8.99
2,RFP Plasmid,189,3045,94.04
3,CFP Plasmid,125,2789,67.91
4,GFP Plasmid,149,3115,72.47
5,,,,0.00
6,,,,0.00
7,,,,0.00
8,,,,0.00
9,,,,0.00
10,,,,0.00
